date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1999-04-20,2847.2,2876.81,2877.63,2846.26,7397860.0,3645945088.0,1.1,1.05,30.0,0.03
1999-04-21,2878.26,2829.36,2886.33,2829.28,11208488.0,4562527232.0,1.98,-1.65,-47.45,0.05
1999-04-22,2816.89,2819.76,2824.52,2739.62,9801200.0,4960401920.0,3.0,-0.34,-9.6,0.04
1999-04-23,2821.79,2889.27,2903.15,2821.79,9109579.0,4992804864.0,2.89,2.47,69.51,0.04
1999-04-26,2899.22,2855.18,2911.05,2854.47,9126495.0,4934725120.0,1.96,-1.18,-34.09,0.04
1999-04-27,2842.65,2775.67,2845.67,2771.68,7349525.0,4008176128.0,2.59,-2.78,-79.51,0.03
1999-04-28,2773.87,2746.06,2812.36,2741.44,5802225.0,3511383040.0,2.56,-1.07,-29.61,0.03
1999-04-29,2747.29,2786.34,2786.72,2741.98,5136044.0,3036564992.0,1.63,1.47,40.28,0.02
1999-04-30,2784.98,2793.46,2804.79,2774.13,5287252.0,2879430912.0,1.1,0.26,7.12,0.02
1999-05-04,2793.21,2786.23,2805.38,2777.14,4745819.0,2510553088.0,1.01,-0.26,-7.23,0.02
1999-05-05,2785.28,2785.26,2796.01,2758.45,4853586.0,2431472128.0,1.35,-0.03,-0.97,0.02
1999-05-06,2786.33,2811.37,2812.79,2782.03,7251802.0,3099623936.0,1.1,0.94,26.11,0.03
1999-05-07,2815.85,2766.21,2818.6,2761.05,5581962.0,3108256000.0,2.05,-1.61,-45.16,0.02
1999-05-10,2729.82,2640.98,2729.82,2621.74,7008845.0,3520353024.0,3.91,-4.53,-125.23,0.03
1999-05-11,2637.99,2682.28,2690.83,2637.99,4406442.0,2436711936.0,2.0,1.56,41.3,0.02
1999-05-12,2679.58,2679.84,2701.18,2659.01,3951647.0,2262676992.0,1.57,-0.09,-2.44,0.02
1999-05-13,2681.43,2648.61,2681.5,2641.41,3488424.0,1932782976.0,1.5,-1.17,-31.23,0.02
1999-05-14,2644.12,2571.1,2644.52,2568.26,4623180.0,2471131904.0,2.88,-2.93,-77.51,0.02
1999-05-17,2554.45,2547.29,2589.72,2521.08,3852374.0,2032049024.0,2.67,-0.93,-23.81,0.02
1999-05-18,2546.8,2534.72,2586.02,2530.51,4150923.0,1944193024.0,2.18,-0.49,-12.57,0.02
1999-05-19,2533.27,2662.28,2662.7,2527.2,5897257.0,3553083904.0,5.35,5.03,127.56,0.03
1999-05-20,2672.19,2751.98,2759.31,2660.96,9353443.0,6026024960.0,3.69,3.37,89.7,0.04
1999-05-21,2761.11,2774.56,2787.83,2740.93,11089634.0,7406455808.0,1.7,0.82,22.58,0.05
1999-05-24,2781.68,2885.44,2886.09,2754.01,16608537.0,11523411968.0,4.76,4.0,110.88,0.07
1999-05-25,2900.34,2840.0,2929.91,2815.19,24270630.0,13360424960.0,3.98,-1.57,-45.44,0.11
1999-05-26,2826.89,2993.64,2995.77,2810.46,15162346.0,10400192512.0,6.53,5.41,153.64,0.07
1999-05-27,3019.68,3180.12,3180.72,3015.72,20748564.0,13845526528.0,5.51,6.23,186.48,0.09
1999-05-28,3214.49,3184.76,3221.56,3131.34,27187612.0,12618551296.0,2.84,0.15,4.64,0.12
1999-05-31,3201.59,3270.35,3352.56,3180.27,24026314.0,15642589184.0,5.41,2.69,85.59,0.11
1999-06-01,3277.56,3378.01,3379.21,3239.43,12669790.0,12669790208.0,4.27,3.29,107.66,0.06
1999-06-02,3403.69,3338.69,3515.05,3327.03,14595830.0,14595829760.0,5.57,-1.16,-39.32,0.06
1999-06-03,3317.02,3290.87,3361.85,3262.2,10031710.0,10031710208.0,2.98,-1.43,-47.82,0.04
1999-06-04,3298.29,3352.64,3381.44,3298.29,10461892.0,10461892608.0,2.53,1.88,61.77,0.05
1999-06-07,3368.73,3471.52,3474.36,3336.42,12063380.0,12063379456.0,4.11,3.55,118.88,0.05
1999-06-08,3498.62,3445.52,3507.12,3434.47,12537290.0,12537289728.0,2.09,-0.75,-26.0,0.06
1999-06-09,3441.83,3481.91,3496.4,3399.93,10971170.0,10971169792.0,2.8,1.06,36.39,0.05
1999-06-10,3637.49,3533.11,3641.85,3518.49,15741043.0,15741042688.0,3.54,1.47,51.2,0.07
1999-06-11,3521.12,3578.63,3593.06,3518.43,13612210.0,13612210176.0,2.11,1.29,45.52,0.06
1999-06-14,3606.18,3702.23,3706.72,3605.81,16258405.0,16258405376.0,2.82,3.45,123.6,0.07
1999-06-15,3833.95,3592.42,3904.63,3538.86,24164298.0,24164298752.0,9.88,-2.97,-109.81,0.11
1999-06-16,3629.03,3771.29,3772.12,3620.97,16286557.0,16286557184.0,4.21,4.98,178.87,0.07
1999-06-17,3829.92,3882.87,3895.52,3723.5,23098672.0,23098671104.0,4.56,2.96,111.58,0.1
1999-06-18,3912.71,3885.09,3931.32,3829.91,23961944.0,23961944064.0,2.61,0.06,2.22,0.11
1999-06-21,3910.39,4008.27,4012.1,3910.39,21164800.0,21164800000.0,2.62,3.17,123.18,0.09
1999-06-22,4029.84,4032.35,4037.09,3916.36,19974490.0,19974490112.0,3.01,0.6,24.08,0.09
1999-06-23,4057.58,4176.07,4194.72,4051.21,23589244.0,23589244928.0,3.56,3.56,143.72,0.1
1999-06-24,4200.4,4404.62,4407.14,4200.4,39597052.0,29510172672.0,4.95,5.47,228.55,0.17
1999-06-25,4498.69,4364.22,4697.81,4347.39,54106176.0,39018459136.0,7.96,-0.92,-40.4,0.24
1999-06-28,4438.53,4705.58,4706.84,4438.53,37421804.0,29713940480.0,6.15,7.82,341.36,0.17
1999-06-29,4834.36,4849.66,4885.56,4715.73,38727484.0,31154819072.0,3.61,3.06,144.08,0.17
1999-06-30,4896.04,4702.77,4896.04,4627.84,43313128.0,30813685760.0,5.53,-3.03,-146.89,0.19
1999-07-01,4669.77,4409.48,4669.77,4282.57,26171320.0,22105360384.0,8.23,-6.24,-293.29,0.12
1999-07-02,4426.88,4486.87,4545.26,4280.5,29267780.0,20281264128.0,6.0,1.76,77.39,0.13
1999-07-05,4510.05,4318.51,4523.24,4310.12,20646428.0,16102307840.0,4.75,-3.75,-168.36,0.09
1999-07-06,4265.87,4027.07,4290.26,4011.48,16333365.0,11899408384.0,6.46,-6.75,-291.44,0.07
1999-07-07,4020.2,4189.89,4193.26,3997.61,14166051.0,10841474048.0,4.86,4.04,162.82,0.06
1999-07-08,4166.86,4196.72,4236.74,4148.81,12890204.0,10870724608.0,2.1,0.16,6.83,0.06
1999-07-09,4178.87,4187.26,4233.34,4132.91,12365643.0,10568114176.0,2.39,-0.23,-9.46,0.05
1999-07-12,4191.92,4034.6,4191.92,4000.51,13956774.0,14102899712.0,4.57,-3.65,-152.66,0.06
1999-07-13,3994.18,3848.21,3994.18,3820.79,11477326.0,10262569984.0,4.3,-4.62,-186.39,0.05
1999-07-14,3852.72,3972.55,3973.08,3852.72,9640679.0,8994500608.0,3.13,3.23,124.34,0.04
1999-07-15,3980.67,3931.96,3989.52,3916.68,14290708.0,10025684992.0,1.83,-1.02,-40.59,0.06
1999-07-16,3925.52,3844.83,3927.26,3830.64,12546861.0,9599489024.0,2.46,-2.22,-87.13,0.06
1999-07-19,3756.36,3657.17,3792.56,3640.67,10269705.0,8566956032.0,3.95,-4.88,-187.66,0.05
1999-07-20,3634.99,3962.8,3963.84,3628.55,15451078.0,12120095744.0,9.17,8.36,305.63,0.07
1999-07-21,4065.88,4123.26,4170.49,4020.06,22351752.0,18485852160.0,3.8,4.05,160.46,0.1
1999-07-22,4120.31,3916.66,4120.31,3916.66,13963144.0,11805056000.0,4.94,-5.01,-206.6,0.06
1999-07-23,3908.66,3990.22,4046.14,3908.66,10291427.0,9448401920.0,3.51,1.88,73.56,0.05
1999-07-26,3998.62,4026.11,4040.29,3964.34,10306536.0,9107110912.0,1.9,0.9,35.89,0.05
1999-07-27,4024.31,3996.66,4037.76,3972.72,9090002.0,8159751168.0,1.62,-0.73,-29.45,0.04
1999-07-28,3993.49,4021.68,4060.5,3991.06,9074166.0,8500060160.0,1.74,0.63,25.02,0.04
1999-07-29,4053.01,4029.83,4079.13,4005.53,7941148.0,7522168832.0,1.83,0.2,8.15,0.04
1999-07-30,4038.92,4045.35,4059.22,4007.0,14840504.0,7919275008.0,1.3,0.39,15.52,0.07
1999-08-02,4075.14,4134.15,4161.77,4058.92,10882535.0,8682735616.0,2.54,2.2,88.8,0.05
1999-08-03,4151.29,4120.02,4156.84,4086.02,9922113.0,8219152896.0,1.71,-0.34,-14.13,0.04
1999-08-04,4122.7,4164.99,4172.0,4122.7,12266844.0,9427517440.0,1.2,1.09,44.97,0.05
