date,open_price,close_price,lowest_price,highest_price,turnover_volume,turnover_amount,amplitude,amplitude_up_down,amount_up_down,turnover_rate
1991-09-11,187.29,187.22,187.29,186.86,21392.0,14677000.0,0.23,-0.59,-1.11,0.0
1991-09-12,186.22,186.22,187.4,186.07,19699.0,16265000.0,0.71,-0.53,-1.0,0.0
1991-09-13,188.0,187.79,188.04,185.01,37434.0,24035000.0,1.63,0.84,1.57,0.0
1991-09-16,189.55,189.66,189.66,187.79,9933.0,6343000.0,1.0,1.0,1.87,0.0
1991-09-17,191.16,188.65,191.18,188.28,28829.0,18623000.0,1.53,-0.53,-1.01,0.0
1991-09-18,187.26,187.63,188.59,187.18,15822.0,11015000.0,0.75,-0.54,-1.02,0.0
1991-09-19,187.65,186.88,189.21,186.49,23439.0,14607000.0,1.45,-0.4,-0.75,0.0
1991-09-20,185.77,185.92,187.21,185.66,12075.0,7417000.0,0.83,-0.51,-0.96,0.0
1991-09-23,185.0,185.0,185.92,184.71,4034.0,2806000.0,0.65,-0.49,-0.92,0.0
1991-09-24,183.96,184.08,185.04,183.69,1426.0,1002000.0,0.73,-0.5,-0.92,0.0
1991-09-25,182.8,183.19,184.08,182.8,1389.0,934000.0,0.7,-0.48,-0.89,0.0
1991-09-26,182.21,182.33,183.19,181.93,6541.0,4620000.0,0.69,-0.47,-0.86,0.0
1991-09-27,183.12,181.82,183.89,181.19,33728.0,20416000.0,1.48,-0.28,-0.51,0.0
1991-09-30,180.28,180.92,181.95,180.27,25594.0,22336000.0,0.92,-0.49,-0.9,0.0
1991-10-03,181.55,182.48,182.48,179.8,18741.0,12329000.0,1.48,0.86,1.56,0.0
1991-10-04,184.29,184.29,184.29,183.59,7360.0,5039000.0,0.38,0.99,1.81,0.0
1991-10-07,185.95,186.0,186.0,185.41,11369.0,7291000.0,0.32,0.93,1.71,0.0
1991-10-08,187.59,187.49,187.61,186.0,23745.0,15241000.0,0.87,0.8,1.49,0.0
1991-10-09,188.49,189.12,189.12,186.31,20989.0,13440000.0,1.5,0.87,1.63,0.0
1991-10-10,190.71,191.01,191.01,189.12,6638.0,4333000.0,1.0,1.0,1.89,0.0
1991-10-11,192.84,192.85,192.88,191.01,10981.0,7251000.0,0.98,0.96,1.84,0.0
1991-10-14,194.06,194.67,194.69,192.32,21493.0,13948000.0,1.23,0.94,1.82,0.0
1991-10-15,196.58,196.61,196.61,194.67,11002.0,7265000.0,1.0,1.0,1.94,0.0
1991-10-16,198.51,198.57,198.57,196.61,9562.0,6273000.0,1.0,1.0,1.96,0.0
1991-10-17,200.5,200.51,200.51,198.57,6077.0,4136000.0,0.98,0.98,1.94,0.0
1991-10-18,202.5,202.51,202.51,200.51,2968.0,2384000.0,1.0,1.0,2.0,0.0
1991-10-21,204.53,204.53,204.53,202.51,3537.0,2514000.0,1.0,1.0,2.02,0.0
1991-10-22,206.06,206.53,206.53,204.53,2128.0,1521000.0,0.98,0.98,2.0,0.0
1991-10-23,208.06,208.25,208.25,206.53,2623.0,1980000.0,0.83,0.83,1.72,0.0
1991-10-24,210.2,210.07,210.2,208.25,19357.0,13174000.0,0.94,0.87,1.82,0.0
1991-10-25,210.34,211.86,211.97,209.71,32650.0,22263000.0,1.08,0.85,1.79,0.0
1991-10-28,213.5,213.98,213.98,211.86,3217.0,2357000.0,1.0,1.0,2.12,0.0
1991-10-29,215.63,215.78,215.78,213.98,2697.0,2069000.0,0.84,0.84,1.8,0.0
1991-10-30,216.37,216.43,216.43,215.78,2380.0,1814000.0,0.3,0.3,0.65,0.0
1991-10-31,218.59,218.6,218.6,216.43,3929.0,2914000.0,1.0,1.0,2.17,0.0
1991-11-01,220.71,220.72,220.72,218.6,5906.0,4313000.0,0.97,0.97,2.12,0.0
1991-11-04,222.77,222.77,222.77,220.79,4474.0,3352000.0,0.9,0.93,2.05,0.0
1991-11-05,224.44,224.65,224.65,222.77,2805.0,2225000.0,0.84,0.84,1.88,0.0
1991-11-06,226.83,226.88,226.88,224.65,2848.0,2188000.0,0.99,0.99,2.23,0.0
1991-11-07,228.93,228.93,228.93,226.88,4833.0,4085000.0,0.9,0.9,2.05,0.0
1991-11-08,230.99,231.22,231.22,228.93,14406.0,11039000.0,1.0,1.0,2.29,0.0
1991-11-11,233.48,233.55,233.55,231.22,2474.0,2130000.0,1.01,1.01,2.33,0.0
1991-11-12,235.75,235.8,235.8,233.55,895.0,914000.0,0.96,0.96,2.25,0.0
1991-11-13,236.51,236.67,236.67,235.8,799.0,879000.0,0.37,0.37,0.87,0.0
1991-11-14,237.39,237.45,237.45,236.67,862.0,940000.0,0.33,0.33,0.78,0.0
1991-11-15,238.25,238.25,238.25,237.45,2058.0,1914000.0,0.34,0.34,0.8,0.0
1991-11-18,240.04,240.62,240.62,238.25,1885.0,1534000.0,0.99,0.99,2.37,0.0
1991-11-19,242.24,242.24,242.24,240.62,2310.0,2040000.0,0.67,0.67,1.62,0.0
1991-11-20,244.5,244.5,244.5,242.24,2325.0,1929000.0,0.93,0.93,2.26,0.0
1991-11-21,246.26,246.31,246.31,244.5,2155.0,2030000.0,0.74,0.74,1.81,0.0
1991-11-22,248.24,248.53,248.53,246.31,2133.0,1954000.0,0.9,0.9,2.22,0.0
1991-11-25,250.84,250.85,250.85,248.53,2331.0,1963000.0,0.93,0.93,2.32,0.0
1991-11-26,252.9,252.97,252.97,250.85,2454.0,2326000.0,0.85,0.85,2.12,0.0
1991-11-27,255.27,255.45,255.45,252.97,2120.0,1756000.0,0.98,0.98,2.48,0.0
1991-11-28,257.28,257.35,257.35,255.45,2502.0,2251000.0,0.74,0.74,1.9,0.0
1991-11-29,259.68,259.6,259.85,257.35,33695.0,28453000.0,0.97,0.87,2.25,0.0
1991-12-02,261.78,262.19,262.19,259.67,19128.0,16310000.0,0.97,1.0,2.59,0.0
1991-12-03,264.64,264.81,264.81,262.19,1101.0,1207000.0,1.0,1.0,2.62,0.0
1991-12-04,265.53,265.77,265.77,264.81,742.0,903000.0,0.36,0.36,0.96,0.0
1991-12-05,266.48,266.66,266.66,265.77,2050.0,2100000.0,0.33,0.33,0.89,0.0
1991-12-06,269.34,269.35,269.35,266.66,1613.0,1798000.0,1.01,1.01,2.69,0.0
1991-12-09,270.27,270.27,270.27,269.35,1631.0,1648000.0,0.34,0.34,0.92,0.0
1991-12-10,270.27,272.91,272.91,270.27,516.0,665000.0,0.98,0.98,2.64,0.0
1991-12-11,273.53,273.71,273.71,272.91,669.0,859000.0,0.29,0.29,0.8,0.0
1991-12-12,274.41,274.41,274.41,273.71,1577.0,1644000.0,0.26,0.26,0.7,0.0
1991-12-13,276.81,277.0,277.0,274.41,746.0,962000.0,0.94,0.94,2.59,0.0
1991-12-16,277.53,277.85,277.85,277.0,580.0,817000.0,0.31,0.31,0.85,0.0
1991-12-17,278.67,278.68,278.68,277.85,493.0,754000.0,0.3,0.3,0.83,0.0
1991-12-18,279.32,279.51,279.51,278.68,760.0,893000.0,0.3,0.3,0.83,0.0
